Country/Region,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,7,7,7,11,16,21,22,22,22,24,24,40,40,74,84,94,110,110,120,170,174,237,273,281,299,349,367,423,444,484,521,555,607,665,714,784.0,840.0,906.0,933.0,996.0,1026.0,1092.0,1176.0,1279.0,1351.0,1463.0,1531.0,1703.0,1828.0,1939.0,2171.0,2335.0,2469.0,2704.0,2894.0,3224.0,3392.0,3563.0,3778.0,4033.0,4402.0,4687.0,4963.0,5226.0,5639.0,6053.0,6402.0,6664.0,7072.0,7653.0,8145.0,8676.0,9216.0,9998.0,10582.0,11173.0,11831.0,12456.0,13036.0,13659.0,14525.0,15205.0,15750.0,16509.0,17267.0,18054.0,18969.0,19551.0,20342.0,20917.0,21459.0,22142.0,22890.0,23546.0,24102.0,24766.0,25527.0,26310.0,26874.0,27532.0,27878.0,28424.0,28833.0,29157.0,29481.0,29640.0,30175.0,30451.0,30616.0,30967.0,31238.0,31517.0,31836.0,32022.0,32324.0,32672.0,32951.0,33190.0,33384.0,33594.0,33908.0,34194.0,34366.0,34451.0,34455.0,34740.0,34994.0,35070.0,35229.0,35301.0,35475.0,35526.0,35615.0,35727.0,35928.0,35981.0,36036.0,36157.0,36263.0,36368.0,36471.0,36542.0,36675.0,36710.0,36710.0,36747.0,36782.0,36829.0,36896.0,37015.0,37054.0,37054.0,37162.0,37269.0,37345.0,37424.0,37431.0,37551.0,37596.0,37599.0,37599.0
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,12,23,33,38,42,51,55,59,64,70,76,89,104,123,146,174,186,197,212,223,243,259,277,304,333,361,377,383,400,409,416,433,446,467,475,494.0,518.0,539.0,548.0,562.0,584.0,609.0,634.0,663.0,678.0,712.0,726.0,736.0,750.0,766.0,773.0,782.0,789.0,795.0,803.0,820.0,832.0,842.0,850.0,856.0,868.0,872.0,876.0,880.0,898.0,916.0,933.0,946.0,948.0,949.0,964.0,969.0,981.0,989.0,998.0,1004.0,1029.0,1050.0,1076.0,1099.0,1122.0,1137.0,1143.0,1164.0,1184.0,1197.0,1212.0,1232.0,1246.0,1263.0,1299.0,1341.0,1385.0,1416.0,1464.0,1521.0,1590.0,1672.0,1722.0,1788.0,1838.0,1891.0,1962.0,1995.0,2047.0,2114.0,2192.0,2269.0,2330.0,2402.0,2466.0,2535.0,2580.0,2662.0,2752.0,2819.0,2893.0,2964.0,3038.0,3106.0,3188.0,3278.0,3371.0,3454.0,3571.0,3667.0,3752.0,3851.0,3906.0,4008.0,4090.0,4171.0,4290.0,4358.0,4466.0,4570.0,4637.0,4763.0,4880.0,4997.0,5105.0,5197.0,5276.0,5396.0,5519.0,5620.0,5750.0,5889.0,6016.0,6151.0,6275.0,6411.0,6536.0,6676.0,6817.0,6971.0,7117.0,7260.0,7380.0,7499.0,7654.0
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,5,12,12,17,17,19,20,20,20,24,26,37,48,54,60,74,87,90,139,201,230,264,302,367,409,454,511,584,716,847,986,1171,1251,1320,1423,1468,1572,1666,1761,1825,1914,1983,2070,2160.0,2268.0,2418.0,2534.0,2629.0,2718.0,2811.0,2910.0,3007.0,3127.0,3256.0,3382.0,3517.0,3649.0,3848.0,4006.0,4154.0,4295.0,4474.0,4648.0,4838.0,4997.0,5182.0,5369.0,5558.0,5723.0,5891.0,6067.0,6253.0,6442.0,6629.0,6821.0,7019.0,7201.0,7377.0,7542.0,7728.0,7918.0,8113.0,8306.0,8503.0,8697.0,8857.0,8997.0,9134.0,9267.0,9394.0,9513.0,9626.0,9733.0,9831.0,9935.0,10050.0,10154.0,10265.0,10382.0,10484.0,10589.0,10698.0,10810.0,10919.0,11031.0,11147.0,11268.0,11385.0,11504.0,11631.0,11771.0,11920.0,12076.0,12248.0,12445.0,12685.0,12968.0,13273.0,13571.0,13907.0,14272.0,14657.0,15070.0,15500.0,15941.0,16404.0,16879.0,17348.0,17808.0,18242.0,18712.0,19195.0,19689.0,20216.0,20770.0,21355.0,21948.0,22549.0,23084.0,23691.0,24278.0,24872.0,25484.0,26159.0,26764.0,27357.0,27973.0,28615.0,29229.0,29831.0,30394.0,30950.0,31465.0,31972.0,32504.0,33055.0,33626.0,34155.0,34693.0,35160.0,35712.0,36204.0,36699.0,37187.0,37664.0,38133.0,38583.0,39025.0,39444.0
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,39,39,53,75,88,113,133,164,188,224,267,308,334,370,376,390,428,439,466,501,525,545,564,583,601,601,638,646,659,673.0,673.0,696.0,704.0,713.0,717.0,717.0,723.0,723.0,731.0,738.0,738.0,743.0,743.0,743.0,745.0,745.0,747.0,748.0,750.0,751.0,751.0,752.0,752.0,754.0,755.0,755.0,758.0,760.0,761.0,761.0,761.0,761.0,761.0,761.0,762.0,762.0,762.0,762.0,762.0,763.0,763.0,763.0,763.0,764.0,764.0,764.0,765.0,844.0,851.0,852.0,852.0,852.0,852.0,852.0,852.0,852.0,852.0,853.0,853.0,853.0,853.0,854.0,854.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,858.0,861.0,862.0,877.0,880.0,880.0,880.0,884.0,884.0,889.0,889.0,897.0,897.0,897.0,907.0,907.0,918.0,922.0,925.0,925.0,925.0,937.0,939.0,939.0,944.0,955.0,955.0,955.0,963.0,963.0,977.0,981.0,989.0,989.0,989.0,1005.0,1005.0
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,4,4,5,7,7,7,8,8,8,10,14,16,17,19,19,19,19,19,19,19,19.0,19.0,19.0,24.0,24.0,24.0,24.0,25.0,25.0,25.0,25.0,26.0,27.0,27.0,27.0,27.0,30.0,35.0,35.0,35.0,36.0,36.0,36.0,43.0,43.0,45.0,45.0,45.0,45.0,48.0,48.0,48.0,48.0,50.0,52.0,52.0,58.0,60.0,61.0,69.0,70.0,70.0,71.0,74.0,81.0,84.0,86.0,86.0,86.0,86.0,86.0,86.0,88.0,91.0,92.0,96.0,113.0,118.0,130.0,138.0,140.0,142.0,148.0,155.0,166.0,172.0,176.0,183.0,186.0,189.0,197.0,212.0,212.0,259.0,267.0,276.0,284.0,291.0,315.0,328.0,346.0,346.0,346.0,386.0,386.0,396.0,458.0,462.0,506.0,525.0,541.0,576.0,607.0,638.0,687.0,705.0,749.0,779.0,812.0,851.0,880.0,916.0,932.0,950.0,1000.0,1078.0,1109.0,1148.0,1164.0,1199.0,1280.0,1344.0,1395.0,1483.0,1538.0,1572.0,1672.0,1679.0,1735.0,1762.0,1815.0,1852.0,1879.0,1906.0,1935.0,1966.0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,7,7,7,7,7,7,7,9,15,15,15,15,19,19,19,19,21,21,23,23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,65.0,65.0,65.0,69.0,69.0,69.0,69.0,69.0,68.0,68.0,68.0,70.0,70.0,70.0,73.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,82.0,82.0,82.0,86.0,86.0,91.0,91.0,91.0,91.0,91.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,93.0,93.0,93.0,93.0,93.0
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,8,12,12,17,19,19,31,34,45,56,68,79,97,128,158,266,301,387,387,502,589,690,745,820,1054,1054,1133,1265,1451,1451,1554,1628,1715,1795,1975,1975,2142,2208,2277,2443.0,2571.0,2669.0,2758.0,2839.0,2941.0,3031.0,3144.0,3435.0,3607.0,3780.0,3892.0,4003.0,4127.0,4285.0,4428.0,4532.0,4681.0,4783.0,4887.0,5020.0,5208.0,5371.0,5611.0,5776.0,6034.0,6278.0,6563.0,6879.0,7134.0,7479.0,7805.0,8068.0,8371.0,8809.0,9283.0,9931.0,10649.0,11353.0,12076.0,12628.0,13228.0,13933.0,14702.0,15419.0,16214.0,16851.0,17415.0,18319.0,19268.0,20197.0,21037.0,22020.0,22794.0,23620.0,24761.0,25987.0,27373.0,28764.0,30295.0,31577.0,32785.0,34159.0,35552.0,37510.0,39570.0,41204.0,42785.0,44931.0,47203.0,49851.0,52457.0,55343.0,57744.0,59933.0,62268.0,64530.0,67197.0,69941.0,72786.0,75376.0,77815.0,80447.0,83426.0,87030.0,90693.0,94060.0,97509.0,100166.0,103265.0,106910.0,111146.0,114783.0,119301.0,122524.0,126755.0,130774.0,136118.0,141900.0,148027.0,153520.0,158334.0,162526.0,167416.0,173355.0,178996.0,185373.0,191302.0,196543.0,201919.0,206743.0,213535.0,220682.0,228195.0,235677.0,241811.0,246499.0,253868.0,260911.0,268574.0,276072.0,282437.0,289100.0,294569.0,299126.0,305966.0
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,4,8,18,26,52,78,84,115,136,160,194,235,249,265,290,329,407,424,482,532,571,663,736,770,822,833,853,881,921,937,967,1013,1039,1067,1111.0,1159.0,1201.0,1248.0,1291.0,1339.0,1401.0,1473.0,1523.0,1596.0,1677.0,1746.0,1808.0,1867.0,1932.0,2066.0,2148.0,2273.0,2386.0,2507.0,2619.0,2782.0,2884.0,3029.0,3175.0,3313.0,3392.0,3538.0,3718.0,3860.0,4044.0,4283.0,4472.0,4823.0,5041.0,5271.0,5606.0,5928.0,6302.0,6661.0,7113.0,7402.0,7774.0,8216.0,8676.0,8927.0,9282.0,9492.0,10009.0,10524.0,11221.0,11817.0,12364.0,13130.0,13325.0,13675.0,14103.0,14669.0,15281.0,16004.0,16667.0,17064.0,17489.0,18033.0,18698.0,19157.0,19708.0,20268.0,20588.0,21006.0,21717.0,22488.0,23247.0,23909.0,24645.0,25127.0,25542.0,26065.0,26658.0,27320.0,27900.0,28606.0,28936.0,29285.0,29820.0,30346.0,30903.0,31392.0,31969.0,32151.0,32490.0,33005.0,33559.0,34001.0,34462.0,34877.0,34981.0,35254.0,35693.0,36162.0,36613.0,36996.0,37317.0,37390.0,37629.0,37937.0,38196.0,38550.0,38841.0,39050.0,39102.0,39298.0,39586.0,39819.0,39985.0,40185.0,40410.0,40433.0,40593.0,40794.0,41023.0,41299.0,41495.0,41663.0,41701.0,41846.0
Australia,0,0,0,0,4,5,5,6,9,9,12,12,12,13,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,25,27,30,39,52,55,60,63,76,91,107,128,128,200,250,297,377,452,568,681,791,1071,1549,1682,2044,2364,2810,3143,3640,3984,4361,4559,4862,5116,5330,5550,5687,5797,5895,6010,6108,6215,6303,6315,6351,6415,6440.0,6462.0,6522.0,6568.0,6610.0,6623.0,6645.0,6652.0,6662.0,6677.0,6694.0,6714.0,6721.0,6744.0,6752.0,6766.0,6778.0,6799.0,6822.0,6847.0,6875.0,6894.0,6913.0,6918.0,6939.0,6948.0,6970.0,6980.0,6989.0,7019.0,7035.0,7044.0,7054.0,7068.0,7072.0,7081.0,7095.0,7099.0,7114.0,7114.0,7126.0,7139.0,7150.0,7165.0,7184.0,7192.0,7202.0,7221.0,7229.0,7240.0,7247.0,7252.0,7259.0,7265.0,7267.0,7274.0,7285.0,7289.0,7294.0,7320.0,7335.0,7347.0,7370.0,7391.0,7409.0,7411.0,7461.0,7474.0,7492.0,7521.0,7558.0,7595.0,7601.0,7686.0,7764.0,7834.0,7920.0,8001.0,8066.0,8260.0,8443.0,8583.0,8755.0,8886.0,9056.0,9374.0,9553.0,9797.0,9980.0,10251.0,10487.0,10810.0,11233.0,11441.0,11802.0,12069.0,12428.0,12894.0,13302.0,13595.0,13950.0,14403.0,14935.0,15303.0,15582.0,16298.0,16903.0,17280.0,17895.0,18318.0,18730.0,19445.0,19890.0,20272.0,20698.0,21084.0,21397.0,21713.0,22127.0,22358.0,22742.0,23035.0,23287.0,23558.0,23773.0,23989.0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,9,14,18,21,29,41,55,79,104,131,182,246,302,504,655,860,1018,1332,1646,2013,2388,2814,3582,4474,5283,5588,6909,7657,8271,8788,9618,10180,10711,11129,11524,11781,12051,12297,12639,12942,13244,13555,13806,13945,14041,14226,14336.0,14476.0,14595.0,14671.0,14749.0,14795.0,14873.0,14925.0,15002.0,15071.0,15148.0,15225.0,15274.0,15357.0,15402.0,15452.0,15531.0,15558.0,15597.0,15621.0,15650.0,15684.0,15752.0,15774.0,15833.0,15871.0,15882.0,15961.0,15997.0,16058.0,16109.0,16201.0,16242.0,16269.0,16321.0,16353.0,16404.0,16436.0,16486.0,16503.0,16539.0,16557.0,16591.0,16628.0,16655.0,16685.0,16731.0,16733.0,16759.0,16771.0,16805.0,16843.0,16898.0,16902.0,16968.0,16979.0,17005.0,17034.0,17064.0,17078.0,17109.0,17135.0,17189.0,17203.0,17223.0,17271.0,17323.0,17341.0,17380.0,17408.0,17449.0,17477.0,17522.0,17580.0,17654.0,17723.0,17766.0,17873.0,17941.0,18050.0,18165.0,18280.0,18365.0,18421.0,18513.0,18615.0,18709.0,18783.0,18897.0,18948.0,19021.0,19154.0,19270.0,19439.0,19573.0,19655.0,19743.0,19827.0,19929.0,20099.0,20214.0,20338.0,20472.0,20558.0,20677.0,20850.0,20955.0,21130.0,21212.0,21304.0,21385.0,21481.0,21566.0,21696.0,21837.0,21919.0,22033.0,22106.0,22245.0,22439.0,22594.0,22876.0,23179.0,23370.0,23534.0,23829.0
